,"gouvernement","nouveau","france","trouver","canada","saint","déclarer","bien","état","rendre","premier","ministre","aller","moi","dernier","foi","montréal","langue","million","rester","dire","étranger","jour","national","elle","cinq","cent","prendre","autre","province","encore","nous","donner","important","américain","affaire","affirmer","cour","chef","devoir","travail","tenir","président","monde","états","unis","avant","anglais","problème","fédéral","temps","notamment","point","grand","général","gaulle","politique","trois","paris","je","ottawa","savoir","lui","homme","vouloir","venir","notre","non","voir","dix","plusieurs","pays","économique","jean","permettre","libéral","jeune","contre","parti","social","francophone","québécois","culturel"
"principalement",6,0,1,0,3,0,0,2,2,0,2,1,0,0,1,0,1,1,3,4,2,1,0,0,3,2,2,2,4,6,0,2,0,0,3,2,2,0,1,3,0,1,2,0,1,2,0,1,3,1,0,1,1,5,3,2,3,2,0,2,1,1,2,0,0,1,0,1,0,0,2,2,4,0,1,1,1,1,0,4,0,0,2
"profession",1,3,1,2,3,0,0,2,0,1,1,4,2,0,0,6,1,0,0,1,1,2,0,0,4,0,2,0,4,0,1,1,2,2,0,1,0,1,1,0,0,1,0,1,2,2,1,1,1,0,2,1,0,1,1,1,3,1,1,2,0,1,2,2,3,0,3,0,1,1,2,0,0,0,2,5,0,0,0,1,3,0,1
"promesse",5,1,2,1,5,3,1,4,1,0,1,2,1,0,0,2,0,0,0,1,3,0,1,2,3,0,0,2,1,1,2,2,0,0,0,0,1,2,0,3,2,5,1,1,0,0,1,1,0,1,0,1,1,4,2,2,2,1,1,0,2,0,2,2,0,2,1,1,2,1,0,4,3,0,0,1,1,1,0,0,0,3,0
"promettre",5,5,2,1,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,3,5,1,1,2,3,2,1,1,0,0,4,0,1,0,1,1,1,0,0,0,1,0,2,0,1,3,1,0,2,0,0,4,1,4,1,0,2,0,0,1,1,0,1,3,1,0,3,0,1,2,1,1,2,2
"propriété",3,1,0,0,0,2,0,3,2,0,1,0,3,0,0,0,0,0,0,2,2,1,1,2,5,1,0,3,2,2,0,2,2,2,2,0,0,0,1,1,0,0,0,0,1,1,0,0,1,3,2,2,0,2,1,0,3,0,2,0,1,2,0,1,1,0,1,3,1,1,0,4,0,1,2,0,1,1,0,0,0,1,0
"protection",2,3,0,0,3,1,1,2,3,0,1,1,1,0,1,0,0,1,0,2,1,0,0,0,6,1,0,2,6,1,1,1,0,1,3,0,2,0,1,4,0,1,1,0,2,2,1,3,1,0,0,0,1,0,0,0,2,0,0,0,0,0,3,2,0,1,2,1,0,0,0,1,1,0,0,0,0,3,0,1,1,2,2
"provenir",8,1,0,1,5,0,0,1,0,1,2,0,2,1,0,2,0,0,0,0,2,0,0,1,5,0,0,1,4,1,0,1,0,3,1,1,0,0,2,2,0,0,0,3,5,6,1,3,0,0,1,0,2,3,1,0,2,2,0,1,1,1,1,1,1,1,5,1,0,1,0,5,0,0,2,0,0,0,1,2,2,1,0
"quasi",1,3,3,0,5,1,1,1,1,0,2,0,0,0,0,1,1,1,0,1,1,1,1,1,3,0,2,3,4,1,1,1,2,0,2,2,0,1,1,3,1,0,1,1,0,0,2,2,2,1,0,0,1,1,4,5,4,1,1,1,0,3,2,0,1,3,1,2,2,0,0,2,0,0,2,0,0,1,1,0,2,2,1
"quatorze",1,5,1,2,0,1,2,2,0,0,3,0,0,2,2,1,1,0,1,2,1,1,2,1,2,3,7,1,2,0,0,0,0,0,1,1,1,1,1,2,0,0,1,1,2,1,0,2,1,2,0,0,2,0,1,0,1,4,1,0,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,2,0,1,0,0,1,2,1
"quelconque",5,0,2,1,2,0,1,3,1,0,1,1,1,1,2,0,0,1,0,1,0,5,1,1,4,0,1,0,1,0,3,5,3,1,2,4,0,0,2,4,0,1,0,2,3,3,1,0,1,2,1,0,1,1,1,1,6,1,0,2,0,3,2,1,1,1,3,3,2,1,0,4,1,1,0,0,0,1,1,0,1,0,2
"rapporter",1,1,2,1,2,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,2,0,2,1,2,0,1,0,1,2,1,4,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,2,2,4,2,0,1,0,5,1,0,3,2,0,1,1,0,1,0,1,1,0,2,0,0,1,1,0,0,0,1,0
"rapprochement",9,0,13,0,5,0,3,1,0,1,4,2,0,2,3,0,0,3,0,1,1,1,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,2,0,0,0,2,5,3,1,0,2,1,2,8,0,3,0,3,0,0,1,0,0,2,0,1,0,1,4,1,0,1,0,1,1,1,0,2,6,3
"rayonnement",5,2,8,1,2,1,0,2,0,0,3,1,0,2,2,3,3,11,0,0,3,2,0,0,4,0,0,2,2,2,0,3,3,0,0,4,1,1,0,2,1,0,3,2,0,0,1,1,1,1,1,0,2,5,0,0,4,0,2,0,0,0,2,0,1,1,7,4,0,0,0,8,5,1,1,0,0,1,0,2,5,3,7
"recommander",5,1,2,0,2,1,0,3,2,1,1,1,0,1,0,1,2,2,0,0,0,2,0,1,4,3,0,2,6,3,0,2,1,0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,0,3,0,4,1,0,2,0,1,0,0,2,1,2,0,1,1,0,0,1,0,0,1,2,1,1,0,0,0,1,1,1,0,1,2
"redouter",3,1,2,1,3,0,0,3,1,0,3,1,2,0,3,3,1,0,1,2,5,0,1,0,2,2,1,2,0,2,2,1,5,2,0,1,0,0,0,3,1,1,1,0,1,1,1,2,1,2,2,1,0,2,3,1,4,1,1,0,3,0,3,2,1,2,1,0,1,1,0,5,2,0,1,2,0,0,4,2,0,1,1
"regard",0,0,4,1,1,2,0,2,1,1,2,2,0,0,2,1,0,1,2,0,2,0,0,1,2,0,1,1,4,2,2,2,1,1,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,1,1,1,0,2,3,0,1,2,2,1,1,1,5,1,1,1,1,0,1,0,0,3,0,0,0,0,1,1,0,1,2,0,0
"relier",3,2,2,1,2,8,0,2,0,1,1,1,3,2,0,0,5,2,1,0,0,1,2,0,1,0,1,1,4,1,2,0,0,0,0,0,0,1,0,1,1,1,1,2,1,1,0,1,0,1,0,1,0,2,0,0,0,2,2,0,0,0,1,1,1,0,2,1,0,1,1,2,1,0,0,0,0,1,1,0,0,1,2
"remonter",0,0,5,1,3,12,0,1,1,2,4,2,2,3,3,1,2,0,1,0,1,2,0,1,6,1,1,1,1,1,1,1,0,1,2,2,2,5,1,0,0,0,0,4,0,0,0,0,0,0,3,0,2,1,5,5,1,1,1,0,0,1,3,0,0,2,1,2,1,1,2,3,2,0,1,1,0,0,0,0,1,1,0
"remplir",2,2,2,2,2,0,1,4,1,0,2,0,1,1,0,1,1,1,0,0,2,2,0,1,2,0,1,2,3,1,3,3,2,1,0,0,0,0,0,3,1,3,1,0,1,0,1,0,2,0,1,0,1,1,1,0,3,1,0,2,0,0,3,0,4,0,1,0,1,0,0,3,0,0,6,0,0,0,0,1,1,1,0
"rentrer",4,3,8,0,3,1,1,1,1,2,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,2,1,1,1,3,3,0,2,0,0,1,1,0,0,0,3,1,0,1,1,1,0,1,0,1,1,2,6,4,1,0,4,1,7,2,7,0,0,2,2,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0
"reposer",2,3,1,2,7,0,0,3,1,0,2,1,1,0,2,1,0,1,0,0,3,0,1,0,5,0,1,1,5,3,0,1,0,2,1,0,1,1,0,3,0,2,0,0,0,1,0,4,2,2,1,0,1,3,1,0,1,0,1,1,2,0,0,2,0,1,1,2,1,1,1,1,3,0,1,0,0,1,1,2,0,0,3
"résider",1,1,2,1,1,3,1,0,1,0,2,0,0,0,0,1,2,0,1,0,0,0,2,1,0,0,0,0,3,1,1,1,3,2,0,0,1,0,1,3,2,0,1,0,2,2,1,3,2,1,1,0,1,4,5,1,3,1,3,2,1,0,4,3,3,1,1,0,0,0,0,4,3,0,0,0,2,0,2,2,3,2,0
"résister",3,3,0,1,6,0,0,2,0,1,1,1,0,1,2,0,1,2,1,0,3,0,0,2,3,0,1,1,2,3,3,3,1,0,6,1,4,1,0,2,0,0,0,1,3,4,0,2,0,1,1,1,0,1,0,1,1,0,2,1,3,3,4,3,2,0,3,0,0,0,0,1,1,0,1,1,1,2,0,1,0,1,3
"résulter",0,3,2,0,2,1,1,1,5,0,1,0,0,0,0,0,0,2,3,0,1,1,2,0,4,0,2,0,3,2,1,3,1,1,2,0,0,1,0,4,1,1,0,3,0,3,1,0,3,0,0,0,0,2,1,1,3,0,0,0,1,0,4,2,2,0,0,0,0,0,1,5,7,0,1,0,1,2,1,3,1,1,2
"retraite",1,3,0,0,1,0,1,3,1,2,5,4,1,0,1,1,0,0,0,1,2,0,1,2,1,2,0,5,1,2,1,0,2,1,1,0,0,1,1,6,1,0,0,0,0,0,1,0,1,3,1,0,1,2,3,1,4,1,0,0,2,0,2,1,0,1,1,2,1,1,0,2,1,0,2,1,0,1,2,3,0,0,0
"rompre",2,2,6,1,3,1,1,1,1,1,5,4,1,0,2,2,0,0,0,1,1,0,1,0,4,0,0,1,3,2,1,2,2,0,0,1,3,0,1,1,0,0,0,1,3,3,1,0,1,1,1,0,0,1,3,3,4,2,5,1,2,1,1,0,4,4,0,0,0,0,3,0,2,2,0,1,0,2,2,1,1,0,0
"rythme",1,2,2,0,0,0,0,1,0,0,2,2,1,2,1,1,2,0,3,1,1,0,0,1,1,1,1,1,3,0,3,2,1,1,2,0,1,1,0,2,2,1,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1,3,0,1,0,1,0,1,0,0,1,0,0,1,0,2,1,0,0,1,1,0,0,0,0,1,0
"sainte",1,0,0,0,0,4,0,0,0,1,2,0,0,1,3,1,7,1,0,1,0,1,0,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,3,0,1,0,0,0,1,2,1,2,4,0,0,1,3,0,2,0,0,1,1,0,1,5,0,0,2,0,0,0,2,0,0,4,2,0,0,0,0,0
"saskatchewan",2,5,1,0,5,0,2,2,1,0,2,2,3,0,1,1,1,1,0,0,1,1,1,1,3,0,0,1,2,12,0,1,1,3,0,0,0,0,1,1,0,0,0,1,1,2,1,1,1,2,1,1,0,0,1,0,0,2,1,0,2,0,0,1,0,1,0,2,2,1,1,0,0,0,1,2,0,1,1,0,3,0,2
"séance",0,4,3,0,2,0,0,0,1,0,7,12,1,0,2,1,0,3,0,0,1,3,2,1,0,3,1,3,0,2,0,0,1,0,0,4,0,7,2,2,12,6,2,0,0,0,0,0,3,0,0,0,1,3,2,0,0,1,3,0,0,0,2,1,0,1,0,0,0,0,4,1,0,1,0,0,0,0,1,1,1,1,2
"seize",1,1,4,1,1,3,0,0,1,0,2,1,1,4,4,0,0,0,2,1,0,1,0,2,5,4,6,0,3,1,0,2,1,1,0,0,0,0,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,2,3,2,0,1,1,6,0,3,0,0,0,1,1,2,2,0,1,0,0
"sien",2,4,1,1,2,0,1,3,0,0,1,2,1,0,0,1,0,4,0,0,5,1,0,1,2,0,0,0,1,1,0,1,1,0,0,1,2,0,0,1,1,1,1,0,0,0,0,1,1,1,2,1,1,3,4,4,4,0,0,2,1,0,3,3,1,0,1,1,4,0,0,4,2,1,1,1,2,0,3,2,0,1,1
"signature",5,3,5,0,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,0,0,2,0,1,1,2,0,0,1,1,1,1,3,1,1,2,1,0,0,2,1,0,3,0,2,1,1,0,0,2,0,2,1,0,2,1,0,2,2,0,6,0,0,0,1,2,4,3,1,1,1,0,1,2,0,1,0,1,0,1,0,4,9
"signe",1,1,2,0,2,0,1,1,0,1,4,1,1,2,1,0,2,3,0,0,1,0,1,0,6,1,1,2,2,2,2,6,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,2,4,0,1,3,2,1,0,1,1,1,0,0,4,0,1,2,1,4,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0
"significatif",0,3,2,1,1,0,0,2,0,1,5,0,1,2,2,1,2,1,0,0,2,0,1,1,1,1,1,1,2,0,1,2,5,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,3,3,2,0,0,0,2,4,0,3,1,2,4,2,0,3,1,0,1,4,3,1,1,0,0,0,0,1,0,2,1
"signification",1,0,1,0,1,1,1,2,1,0,0,1,3,1,1,1,1,1,0,1,0,0,0,0,6,0,0,2,3,0,1,4,2,0,0,0,0,1,0,3,0,1,0,2,0,0,0,0,1,0,1,0,0,2,5,3,5,0,0,1,1,4,3,2,2,1,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3
"solide",1,2,0,0,3,0,0,2,3,1,3,0,2,1,0,1,0,4,0,1,3,1,1,1,4,0,0,0,2,1,3,3,1,0,1,1,1,0,0,0,0,2,0,2,0,0,0,1,1,1,4,0,0,3,2,1,3,0,2,2,2,1,4,2,2,2,2,1,0,0,0,2,0,0,2,2,1,2,2,1,1,0,0
"soucieux",6,2,2,0,0,1,0,1,0,0,2,5,1,0,1,2,0,1,0,1,0,3,1,1,3,0,1,1,0,2,1,1,5,2,0,1,1,0,3,1,0,1,0,2,1,0,2,2,0,2,1,0,1,5,2,1,1,1,1,0,6,1,2,2,2,1,0,0,0,0,2,4,2,1,0,1,0,1,2,1,2,1,0
"spécialiser",3,1,3,0,0,0,0,3,1,0,4,2,2,1,2,0,0,1,0,0,0,1,0,2,4,2,1,2,0,5,1,0,0,1,0,1,1,0,0,3,3,0,0,0,3,3,1,0,2,1,1,0,0,2,2,1,3,2,0,0,2,0,0,1,2,1,1,2,2,1,0,2,0,0,1,0,1,3,1,0,1,3,2
"spectacle",0,4,0,0,2,0,0,1,2,0,0,1,0,2,0,2,1,0,2,0,3,0,1,1,2,0,0,0,2,0,2,3,5,0,0,1,0,1,0,3,0,0,0,3,1,1,0,2,0,0,2,0,0,4,1,0,5,2,0,0,0,0,2,4,1,0,2,0,3,1,2,4,0,1,1,0,2,1,1,1,2,2,1
"station",2,6,0,0,1,5,0,1,0,0,1,3,0,1,2,0,3,1,2,0,0,1,0,0,2,0,2,1,2,0,0,2,1,0,0,0,1,1,0,1,1,0,0,3,0,0,0,2,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,2,0,0,2,0,2,3,1,0,0,5,0,0,1,1,0,0,1,0,2
"substance",4,0,0,1,5,1,8,3,4,1,3,1,0,0,0,1,1,1,1,0,11,0,0,2,0,1,0,0,4,0,4,3,0,0,0,0,1,0,1,3,0,2,1,1,1,2,0,1,0,5,1,1,1,2,1,0,3,0,1,3,4,1,5,3,0,1,2,1,0,0,0,4,3,0,3,0,0,1,2,1,2,2,3
"succéder",1,2,1,1,5,0,1,4,2,1,6,4,3,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,2,2,0,1,0,0,0,2,3,1,0,0,4,1,0,1,1,1,0,0,0,1,2,1,5,1,1,1,4,2,1,2,13,1,1,3,0,1,0,1,0,1,0,3,0,5,0,0,4,0,1,0,0
"supporter",3,0,2,0,0,1,2,3,2,0,1,1,2,0,0,1,1,0,1,0,2,0,1,2,3,1,0,0,0,1,1,1,1,0,0,1,2,0,1,2,0,0,1,1,0,0,2,0,0,2,1,0,1,3,2,1,2,0,0,1,0,1,3,2,1,0,0,1,1,0,1,2,0,0,0,0,1,2,1,2,1,0,0
"supprimer",1,1,1,0,2,1,4,2,1,0,1,1,0,1,2,0,2,1,0,1,2,2,0,1,2,0,1,2,3,0,0,2,0,0,1,0,0,1,0,4,0,0,1,1,1,1,1,1,2,0,1,1,1,0,0,0,2,2,2,2,2,0,2,1,0,0,2,1,1,0,0,2,2,1,1,1,1,0,0,0,0,1,0
"suprême",5,0,0,0,4,0,2,2,3,2,4,3,0,1,1,0,0,3,0,1,1,0,2,1,1,0,0,3,3,4,1,2,1,0,1,0,0,20,1,1,3,1,1,2,0,1,3,1,0,4,0,2,1,0,0,0,2,1,0,0,3,0,1,3,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1
"surgir",0,3,1,1,0,4,2,2,1,1,0,0,1,0,2,0,1,0,1,3,1,0,1,0,3,1,1,1,1,0,2,2,0,0,1,1,1,1,2,2,1,1,0,1,0,0,0,0,2,0,1,1,1,2,1,0,3,1,1,1,1,2,0,1,2,0,1,2,1,0,0,5,1,0,0,0,0,0,0,1,0,0,0
"talent",1,0,4,1,3,0,1,5,2,1,1,1,1,1,0,2,2,1,1,0,2,0,2,0,3,0,0,1,7,1,1,2,2,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,2,0,2,1,0,5,0,1,3,0,3,0,1,1,3,1,2,0,3,0,5,0,1,3,1,1,1,0,1,2,0,0,0,1,0
"tarif",1,1,3,0,3,0,1,3,0,1,4,1,0,1,3,2,0,0,0,2,4,2,3,3,1,1,0,2,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,1,1,0,0,1,0,1,6,1,1,1,0,1,0,0,1,6,5,1,1,0,5,2,0,0,1,1,0,1,3,0,0,0
"tort",4,0,2,2,4,1,2,5,1,1,4,1,0,1,0,0,0,0,0,0,3,1,1,3,2,0,0,3,4,1,0,2,4,0,0,1,0,0,1,3,0,0,0,0,1,0,3,2,1,2,2,1,2,2,2,2,2,1,1,2,0,1,3,1,1,1,1,2,2,1,1,1,0,1,0,2,1,1,1,2,1,1,1
"totalement",1,0,4,0,3,2,0,1,1,0,5,0,1,1,2,1,2,1,0,0,3,1,2,0,4,0,0,1,3,1,4,2,2,1,0,0,0,0,0,5,0,0,0,4,1,1,0,0,0,0,1,0,2,3,0,0,2,1,0,1,0,1,2,1,4,1,2,6,0,0,1,2,1,1,1,1,1,0,1,0,2,1,1
"totalité",2,2,4,0,1,1,0,1,0,1,2,1,0,0,0,0,0,1,2,1,0,1,0,1,3,1,0,0,3,1,1,0,0,0,0,1,0,1,0,2,2,0,0,0,1,1,1,2,0,2,0,0,0,2,2,2,4,0,0,0,0,1,3,1,1,2,0,0,0,0,0,6,0,0,2,0,1,1,2,2,0,1,0
"tromper",2,1,2,1,2,2,0,1,1,0,2,1,0,0,0,3,1,1,0,0,3,3,0,1,5,0,1,0,3,1,3,3,0,0,0,1,2,0,2,1,1,0,2,1,0,0,0,6,1,1,1,1,1,2,3,2,3,0,1,4,2,0,2,5,3,3,1,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"tuer",0,2,1,0,0,3,1,2,0,0,1,1,1,2,1,0,2,0,0,0,2,0,3,0,2,1,1,0,7,2,1,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,1,0,1,0,2,0,1,3,4,0,2,2,0,1,1,2,1,0,0,0,0,5,1,0,0,0,1,0
"tunisie",4,1,3,0,8,0,1,1,1,3,3,1,1,1,2,0,1,0,4,0,1,1,1,1,3,1,1,2,3,0,2,3,2,3,0,2,0,0,1,1,1,0,1,1,1,0,1,0,2,1,1,2,1,1,3,0,2,3,1,0,2,1,1,0,0,4,2,2,0,1,1,9,3,1,1,1,0,1,0,0,2,0,2
"vacance",0,1,4,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,2,0,1,2,3,5,2,0,2,2,0,2,1,0,0,1,1,0,0,2,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,3,3,1,1,1,1,0,1,1,2,0,1,1,0,1,0,2,0,4,0,0,0,0,4,0,0,0,0,3,4
"venu",4,4,2,0,2,1,2,5,0,0,3,5,1,1,3,2,1,0,2,1,1,1,1,3,1,0,1,2,3,1,2,1,0,0,0,0,0,2,1,3,0,0,2,1,0,0,0,0,1,1,0,0,0,0,3,1,2,3,4,1,0,1,3,0,0,0,1,0,1,1,2,2,0,3,1,1,1,1,1,1,1,4,1
"victime",3,0,2,1,1,1,1,3,0,0,5,3,0,0,3,1,1,1,1,1,1,1,0,0,2,0,0,2,2,2,2,1,0,0,0,0,0,1,1,2,3,0,0,1,0,1,0,0,2,2,1,0,2,2,1,1,3,1,1,2,0,0,3,1,1,0,0,3,0,1,0,2,0,1,1,1,1,1,1,1,4,0,1
"vision",0,2,4,1,1,2,0,2,1,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,5,0,0,4,1,0,2,1,1,0,1,0,0,0,2,0,0,0,1,4,0,1,0,0,0,0,2,0,1,2,3,1,2,1,0,2,0,0,1,2,0,3,0,1,0,0,0,1,0,1,0,0,2,0,0,1,1,0,3
"vive",2,0,5,0,7,0,0,2,1,0,0,2,0,1,1,0,4,0,1,0,1,0,0,0,1,0,0,1,4,1,1,0,1,0,0,1,1,1,3,1,0,2,2,0,0,0,1,0,1,1,0,1,0,1,8,8,0,0,3,2,3,0,2,3,2,1,0,0,1,0,1,2,0,1,0,0,0,1,0,0,0,2,1
"voire",3,1,2,0,3,2,1,4,0,0,1,2,2,3,3,0,1,1,0,0,1,0,2,0,7,0,0,2,4,1,0,2,0,0,2,1,1,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,3,0,0,1,2,0,1,1,1,2,3,1,1,0,3,3,3,0,1,0,0,0,1,1,2,0,4
